,first name,last name,job,studies,salary
42,Cynthia,Obrien,Teaching laboratory technician,primary,17853.74630073321
43,David,Davis,Commercial art gallery manager,primary,18576.753246812794
44,Benjamin,Smith,Electrical engineer,primary,18831.34911358646
45,Jennifer,Mendoza,"Biochemist, clinical",primary,18913.94289135504
46,Sharon,Johnson,"Physicist, medical",primary,19131.318101068242
47,Christine,Huff,Building control surveyor,primary,19050.308818117483
48,Jeffrey,Lucas,Maintenance engineer,primary,18295.41218123117
49,Ryan,Brown,"Psychologist, sport and exercise",primary,17362.260778537264
50,Benjamin,Garcia,"Nurse, adult",secondary,23522.303261380675
51,James,Howard,"Psychotherapist, dance movement",primary,19295.601228507014
52,Mary,Sellers,"Doctor, general practice",primary,18488.28373906253
53,Heidi,Harris,Barrister,tertiary,31341.348263694796
54,Kristina,Moore,"Designer, television/film set",tertiary,28570.003101080983
55,Matthew,King,"Therapist, speech and language",primary,18742.91505168973
56,Sandra,Wade,"Administrator, Civil Service",primary,18941.75975518829
57,Thomas,Ortiz,"Teacher, adult education",tertiary,30268.510356366976
58,Nancy,Lowery,Marketing executive,primary,17520.224359810556
59,Paul,Sandoval,"Designer, exhibition/display",tertiary,28972.35591431168
60,Ann,Smith,Careers information officer,primary,17579.17218563294
61,Matthew,Williams,Health visitor,primary,16647.62209177213
62,Dennis,Gill,Race relations officer,primary,16315.391558253647
63,Michael,Roberts,Mechanical engineer,primary,18258.81900758722
64,Brittany,Mcclain,Web designer,secondary,20666.693723460026
65,David,Collins,Patent examiner,primary,16683.02462544448
66,Maria,Miller,"Therapist, music",primary,17113.615952742653
67,James,Cook,Film/video editor,secondary,20780.091149435586
68,Jeffrey,West,Tax inspector,tertiary,29293.123221099027
69,Nancy,Johnson,Tax inspector,primary,19662.72508652695
70,Robert,Bates,Armed forces training and education officer,secondary,21772.10036558779
71,Gabriel,Brown,"Designer, industrial/product",tertiary,30414.46565235467
72,Sean,Dyer,"Surveyor, mining",secondary,21717.858367708664
73,Cassandra,Smith,Arboriculturist,secondary,22504.436132175757
74,Troy,Collins,"Psychologist, sport and exercise",primary,17450.071833613736
75,Brendan,Carson,Pathologist,primary,18405.23656336963
76,Jacob,Key,Charity officer,primary,17720.537997608764
77,Mary,Anderson,"Administrator, local government",primary,17366.22388330866
78,Richard,Gregory,Interpreter,tertiary,28831.97542100875
79,Aaron,Smith,"Accountant, chartered",primary,18315.852759653833
80,Tina,Lowe,Veterinary surgeon,secondary,21406.29952299535
81,Connor,Wilson,"Engineer, civil (contracting)",secondary,22349.393497632605
82,Morgan,Ramirez,"Education officer, environmental",secondary,21699.163911058156
83,Craig,Nash,Occupational psychologist,primary,16237.852364974291
84,Courtney,Johnson,Production manager,secondary,21750.26188448468
85,Lauren,Wilson,Furniture conservator/restorer,primary,16897.8412159353
86,Dennis,Meyer,"Loss adjuster, chartered",primary,17572.082079906217
87,Darin,Moore,Advertising account executive,primary,16952.12015565572
88,Bobby,Harris,Futures trader,tertiary,30386.99154847737
89,Angela,Potts,Tax inspector,primary,18084.70247349763
90,Renee,Williams,Translator,secondary,24320.19159339796
91,Diana,Joseph,Proofreader,primary,16719.548961979744
92,Danielle,Watson,Soil scientist,primary,18810.366314946332
93,Gregory,Bennett,"Horticulturist, amenity",secondary,22028.38172285901
94,Alan,Hernandez,"Lecturer, further education",primary,16629.91734037621
95,Matthew,Richardson,Chief Financial Officer,primary,18123.588425754304
96,Matthew,Oliver,Architectural technologist,tertiary,28860.774965620174
97,Joseph,Hernandez,Television production assistant,secondary,21733.83030216
98,Keith,Foster,Sports therapist,secondary,21099.788515113487
99,David,Wilson,Film/video editor,primary,18147.211398622883
100,Sarah,Parker,"Scientist, research (medical)",primary,18375.807140660025
101,Jessica,Turner,Land/geomatics surveyor,secondary,21705.302467737747
102,Kevin,Rodriguez,"Surveyor, mining",tertiary,30868.581647009552
103,Regina,Wells,Lobbyist,primary,17541.194255279075
104,David,Wilson,Research scientist (medical),primary,16659.589561586577
105,Ronald,Turner,"Designer, furniture",tertiary,30077.79724883852
106,Samantha,Sims,Mining engineer,primary,16074.220471710025
107,Linda,Frey,Chartered loss adjuster,primary,17419.996593856842
108,Cameron,Miller,Environmental consultant,primary,17922.386372570083
109,Bruce,Smith,"Nurse, mental health",secondary,22326.383565937867
110,Angela,Roberts,Records manager,secondary,20589.018599255225
111,Kristina,Klein,"Engineer, water",primary,17779.503455767754
112,Rodney,Richardson,Games developer,tertiary,29369.935166217947
113,Brenda,Jackson,"Engineer, agricultural",primary,17448.652402355605
114,Michael,Brown,Air broker,secondary,22568.055584386024
115,Rebecca,Hayes,"Engineer, drilling",tertiary,29657.872096950647
116,David,Sanders,"Engineer, maintenance (IT)",primary,17470.280537697705
117,Danielle,Shea,"Engineer, technical sales",primary,18338.749965833464
118,Cindy,Garcia,Proofreader,primary,18239.151456012296
119,Nicholas,Payne,Dentist,primary,17047.925317995025
120,Daniel,Carlson,Ranger/warden,primary,15812.852116917386
121,Eddie,Sullivan,Pharmacologist,secondary,21233.823968627505
122,Natalie,Simpson,IT trainer,primary,19091.757074288933
123,Martha,Bolton,"Engineer, drilling",primary,19330.348204091963
124,Amy,Velazquez,Acupuncturist,primary,18879.753205126777
125,Matthew,Estes,"Investment banker, corporate",primary,18003.192091338125
126,Lisa,Johnson,Data scientist,tertiary,29263.256253344498
127,Nancy,Morrison,"Designer, furniture",secondary,20879.591765021458
128,Megan,Aguilar,"Psychotherapist, dance movement",primary,18539.488234380187
129,Carl,Miller,Archaeologist,secondary,22596.737424733095
130,Carl,Anderson,Hydrologist,primary,18414.15033708486
131,Alexis,Anthony,Lawyer,primary,18188.944255541595
132,Michelle,Owen,Psychiatrist,primary,18768.77420667501
133,Tanya,Wagner,Senior tax professional/tax inspector,secondary,23234.18543686955
134,Wayne,Berry,"Scientist, marine",tertiary,30613.504601854078
135,Katherine,Mooney,Physiological scientist,primary,17901.027674262255
136,Rebecca,Harris,Social worker,primary,19394.40303805285
137,Rachel,Butler,Race relations officer,primary,17848.149520727064
138,Megan,Compton,Translator,primary,17390.326078241967
139,Brenda,York,Advertising account planner,primary,18145.668641035747
140,Diane,Smith,"Education officer, environmental",tertiary,30967.59379931023
141,Kevin,Hudson,Learning mentor,secondary,23136.416724181585
142,Cameron,Heath,Immunologist,primary,17290.257781156735
143,Kendra,Cruz,Music therapist,tertiary,30187.65984514981
144,Bryan,Davidson,Conference centre manager,tertiary,28030.035485948272
145,John,Blair,"Lecturer, higher education",secondary,22777.92568876805
146,Brian,Johnson,Pensions consultant,secondary,23744.14456077484
147,Donald,Wu,Town planner,primary,18283.57441616565
148,Jennifer,Nunez,"Designer, blown glass/stained glass",secondary,22698.015874585504
149,Lisa,Gomez,Animal technologist,primary,18476.546272205058
150,Cheryl,Hughes,Art gallery manager,primary,17001.244109395917
151,Craig,Osborne,Advertising account planner,primary,17299.027556906796
152,Antonio,Williamson,Jewellery designer,primary,17464.918063301895
153,Daniel,Dunn,Logistics and distribution manager,tertiary,29997.111178231982
154,James,Logan,Recycling officer,tertiary,28872.94917413439
155,Daniel,Brown,"Psychologist, sport and exercise",primary,18359.09301757454
156,Christina,Peck,Company secretary,primary,15596.577103775013
157,Tara,Reeves,Housing manager/officer,primary,18354.420230149753
158,Kristina,Martinez,Naval architect,primary,18048.10742348737
159,Lauren,Stark,Community development worker,primary,18053.091746124373
160,April,Floyd,Energy engineer,secondary,23780.36444026405
161,Benjamin,Myers,Meteorologist,secondary,22037.19888505673
162,Katherine,Gibson,Call centre manager,primary,18713.937522453503
163,Sue,Winters,Archaeologist,tertiary,29736.41427744484
164,Todd,Santana,"Scientist, product/process development",secondary,21197.73365231887
165,Elizabeth,Armstrong,"Engineer, technical sales",primary,18518.3244471602
166,Jerry,Frank,Retail buyer,tertiary,30091.09433716483
167,Holly,Fisher,Industrial/product designer,secondary,20992.631620303815
168,Sonia,Thomas,Systems developer,primary,18195.920791908095
169,Robert,Miller,Civil Service fast streamer,primary,18497.878670811588
170,Robert,Garcia,"Designer, furniture",primary,17756.368162999566
171,Jessica,Johnson,Product manager,tertiary,29879.815289606137
172,Ryan,Butler,Research scientist (maths),tertiary,29863.116815392892
173,Samantha,Rivers,Forensic psychologist,primary,19112.343943000662
174,Christian,Jones,Mechanical engineer,primary,17770.824774711684
175,Heather,Reed,"Editor, magazine features",primary,16897.8412159353
176,Alejandro,Mccann,Medical secretary,primary,18477.60346407826
177,Chad,Barry,"Engineer, maintenance (IT)",tertiary,32146.83704829107
178,Aaron,Hopkins,Community pharmacist,primary,20041.324820207486
179,Julie,Carter,Agricultural consultant,primary,17909.71993675892
180,Sarah,Hall,Curator,primary,17307.61159082159
181,Jacob,Rodriguez,Local government officer,primary,18131.48547477609
182,Jasmine,Scott,Air broker,secondary,21170.819690494474
183,Tammy,Cox,Public librarian,primary,18178.19299411003
184,Susan,Phillips,Surgeon,tertiary,30792.03406469941
185,Cynthia,White,Catering manager,primary,17834.539483871722
186,Curtis,Carpenter,"Designer, graphic",tertiary,28941.798012343694
187,Nicholas,Thomas,Comptroller,primary,16516.901921313496
188,Linda,Stewart,Financial manager,secondary,22714.7323710869
189,Joel,White,Microbiologist,primary,16743.50266548659
190,Robert,Williams,Consulting civil engineer,primary,19312.38731936494
191,Carolyn,Long,"Buyer, industrial",primary,19597.765203616655
192,David,Evans,Pension scheme manager,secondary,21113.855879928255
193,Joyce,Thomas,"Pharmacist, hospital",primary,16593.732171735726
194,Kenneth,Gomez,Fish farm manager,primary,17675.838104267623
195,Sean,Wood,Seismic interpreter,secondary,19885.23506385715
196,Brian,Ortiz,Pensions consultant,primary,17390.303199281512
197,Suzanne,Valenzuela,Prison officer,primary,17783.43956232332
198,James,Carter,Public affairs consultant,secondary,22863.143154407084
199,Christopher,Lopez,Clinical embryologist,tertiary,30615.52386728598
200,Joshua,Grant,"Designer, exhibition/display",primary,16232.793604723158
201,Laura,Griffin,Oceanographer,primary,18161.701387379137
202,Jacob,Fisher,Ecologist,secondary,23546.07890966794
203,John,Chavez,"Scientist, research (medical)",primary,18381.760546581478
204,Douglas,Ford,Chartered legal executive (England and Wales),tertiary,31105.52640751813
205,Timothy,Harris,Accommodation manager,primary,18599.73455379616
206,Maria,Cole,"Psychologist, counselling",primary,17754.467719452226
207,Alan,Evans,Illustrator,secondary,23090.21521317968
208,Amy,Moore,Public affairs consultant,primary,17919.584038261164
209,Christopher,Jimenez,Exhibition designer,primary,18866.653026452306
210,Amy,Sullivan,Advertising copywriter,primary,16785.05192107785
211,David,Stephenson,Architect,tertiary,29310.359360378832
212,Aaron,Ross,Television camera operator,tertiary,30643.809513154036
213,Jennifer,Wallace,Forensic psychologist,primary,17492.527909010223
214,Michael,Savage,"Engineer, building services",primary,19100.638151979125
215,Caitlin,Johnson,Garment/textile technologist,secondary,19404.539718921427
216,Kevin,Morgan,Senior tax professional/tax inspector,primary,18460.169115256012
217,Michele,Macdonald,"Development worker, community",primary,18010.702596359766
218,Carlos,Callahan,Heritage manager,primary,17283.862841544767
219,April,Berry,"Engineer, materials",primary,18250.523456599894
220,Amanda,Jenkins,Speech and language therapist,primary,17494.347277085497
221,Richard,Osborne,Health promotion specialist,tertiary,29417.19911466306
222,Kelly,Watson,Corporate investment banker,primary,19305.385717509376
223,Eric,Terry,Museum/gallery curator,secondary,21550.273702787952
224,Richard,Mcdonald,"Surveyor, minerals",secondary,23077.270699577675
225,Elizabeth,Gomez,Public librarian,primary,19160.724289002417
226,Julia,Robinson,Records manager,primary,19007.954926881426
227,Heather,Flores,Best boy,tertiary,29135.53266387406
228,Scott,Thomas,Research scientist (life sciences),primary,17361.683967500652
229,Brian,Howell,Agricultural engineer,primary,16739.021598039886
230,Michael,Myers,Administrator,primary,16773.42373388556
231,Meghan,Werner,Ceramics designer,secondary,22441.366940948803
232,Gina,Harmon,Nutritional therapist,primary,16183.10856581605
233,Adam,Williams,Web designer,secondary,23015.545001751863
234,Adam,Nelson,"Horticulturist, commercial",secondary,21890.31858055521
235,Jessica,Perez,"Teacher, primary school",primary,17778.59069934747
236,Keith,Garcia,Psychiatrist,tertiary,30713.162182160137
237,Jennifer,Cruz,Lawyer,primary,18390.38694200817
238,Robert,Prince,"Presenter, broadcasting",tertiary,31042.984560703448
239,Earl,Fitzpatrick,Data scientist,primary,17691.414261977217
240,Alexandria,Anderson,"Embryologist, clinical",secondary,21809.144851250727
241,Sean,Clarke,Neurosurgeon,secondary,23902.433009004744
242,Ronald,Vasquez,English as a second language teacher,primary,18284.643003269797
243,Laura,Gonzales,"Engineer, energy",secondary,20765.658894144653
244,Brenda,Williams,Network engineer,primary,17155.225395372217
245,Arthur,Schultz,"Embryologist, clinical",tertiary,30328.48825289441
246,Michael,Paul,Early years teacher,secondary,21968.332168531124
247,Jesse,Evans,Chartered legal executive (England and Wales),primary,18626.69081276481
248,Janet,Hunt,Higher education careers adviser,secondary,22583.671209923814
249,Kelsey,Andrade,Paramedic,primary,15595.93274234608
250,Stephen,Welch,"Scientist, clinical (histocompatibility and immunogenetics)",secondary,23045.332231784276
251,Elizabeth,Wong,Sports development officer,secondary,23310.19427196054
252,Sarah,Villa,Telecommunications researcher,secondary,19586.787700866484
253,Shawn,Scott,Publishing copy,primary,16186.176359064772
254,Jason,Adams,Armed forces logistics/support/administrative officer,primary,16495.283666732885
255,Brian,Bailey,Horticultural consultant,tertiary,29126.062611338573
256,Diamond,Taylor,Phytotherapist,primary,17367.555166582293
257,Erin,Arellano,Occupational psychologist,primary,17897.43871156914
258,Angela,Walker,"Engineer, automotive",secondary,22710.45970815363
259,Matthew,Garcia,Chartered certified accountant,tertiary,29951.414397088887
260,Laura,Morris,"Programmer, applications",primary,19434.614947802784
261,Patricia,Scott,"Scientist, research (maths)",primary,18635.707338410888
262,Bradley,Wood,"Engineer, manufacturing systems",primary,19257.229130395564
263,Molly,Reed,"Engineer, drilling",secondary,22131.572802694314
264,John,Daniel,Illustrator,secondary,21978.159792129198
265,Larry,Heath,Forest/woodland manager,primary,17697.288079351416
266,Timothy,Wiggins,Film/video editor,primary,17276.39226469187
267,Bradley,Villa,"Buyer, industrial",primary,18480.321024507437
268,Albert,Simpson,Primary school teacher,secondary,23579.439232528177
269,Brandon,Lamb,"Research officer, political party",primary,19308.455694076125
270,Steven,Wilson,Ceramics designer,primary,17164.24611804477
271,John,Mckenzie,"Designer, exhibition/display",primary,17251.57609515285
272,Robert,Calhoun,Prison officer,primary,16602.844920137115
273,Cheyenne,Meyers,"Surveyor, land/geomatics",primary,17848.073967699856
274,Kari,Calderon,Archaeologist,primary,17956.9666424172
275,Susan,Wright,English as a second language teacher,secondary,20918.546638210868
276,David,Pitts,Management consultant,primary,17952.94477402311
277,Luis,Graham,"Surveyor, hydrographic",primary,17005.60169322035
278,Rachel,Bishop,"Engineer, drilling",secondary,19815.682767742495
279,Jennifer,Waters,"Scientist, audiological",primary,15994.787014516878
280,Cassandra,Herrera,Games developer,tertiary,29647.85651133428
281,Joseph,Smith,Volunteer coordinator,primary,20028.67272951971
282,Kristen,Garcia,Patent examiner,tertiary,29407.66903173271
283,John,Mitchell,Accounting technician,primary,17441.30163874665
284,Judy,Robertson,Artist,primary,17322.968541452406
285,David,Brewer,Commissioning editor,primary,17169.840639704205
286,Teresa,Cunningham,Event organiser,primary,18750.866648379502
287,Emily,Warner,Herbalist,secondary,23556.866072343862
288,Jeffrey,Decker,Film/video editor,secondary,21975.711203502207
289,Calvin,Parker,Land,secondary,21454.116320873
290,Jesus,Fuller,Historic buildings inspector/conservation officer,primary,18079.806312776655
291,Brandi,Taylor,"Administrator, local government",primary,19010.48257178998
292,Angela,Murphy,Textile designer,secondary,21087.807670117392
293,Cynthia,Burnett,Occupational hygienist,primary,18047.068381963865
294,Eric,Thompson,Camera operator,secondary,22463.460310737744
295,Derek,Clark,Research scientist (maths),primary,17955.229063154387
296,Ashley,Dominguez,"Engineer, production",primary,18545.25377597022
297,Joe,Anderson,Facilities manager,tertiary,30359.298427723515
298,Kathleen,Gomez,"Therapist, art",secondary,21952.974211146182
299,David,Jimenez,Clinical cytogeneticist,secondary,21763.908517488933
300,Christina,Johnson,"Therapist, occupational",primary,18827.792896919793
301,Michael,Bryant,"Administrator, charities/voluntary organisations",primary,16514.719740094923
302,Susan,Peters,"Designer, textile",primary,18102.89275774828
303,Donna,Simpson,Quarry manager,primary,19204.246756407545
304,Amy,Padilla,Careers information officer,primary,16991.824222870015
305,Jonathon,Munoz,"Engineer, aeronautical",secondary,23022.768260233406
306,Lorraine,Floyd,Music tutor,primary,16445.886212978956
307,Sherry,Clark,International aid/development worker,primary,17468.095166101455
308,Jessica,Nixon,Lobbyist,secondary,23529.487066368074
309,Michelle,Barnett,Equities trader,tertiary,29414.32942068723
310,Jordan,Powers,Industrial/product designer,secondary,22755.972558676924
311,Andre,Berry,Barrister,primary,17426.90197605606
312,Jessica,Hernandez,Advertising copywriter,tertiary,28162.520725641527
313,Travis,Brown,Financial controller,primary,16804.52580200615
314,Brady,Perez,"Journalist, newspaper",secondary,23584.451091405204
315,Carl,Brown,"Pharmacist, hospital",secondary,20968.497628036406
316,Derek,Weeks,"Production assistant, radio",primary,16241.063771493471
317,Ryan,Howard,"Editor, film/video",primary,17249.72367966589
318,Debra,Chandler,Osteopath,secondary,23024.033256103223
319,Patrick,Ortiz,"Geneticist, molecular",primary,17105.61818373123
320,Amanda,Ballard,"Psychologist, counselling",primary,17368.625342085405
321,Katherine,Cunningham,Community education officer,tertiary,30455.007808431033
322,Robert,Myers,"Accountant, chartered certified",secondary,23260.37162781924
323,Vincent,Howell,"Scientist, audiological",primary,18188.445662306407
324,Mary,Lyons,Cartographer,primary,18640.386097431372
325,Mark,Larsen,"Editor, commissioning",primary,16801.063617165844
326,John,Johnson,Dispensing optician,secondary,21750.844480608142
327,Julia,Massey,"Surveyor, mining",secondary,23202.511621628262
328,Gary,Miller,"Therapist, sports",primary,17864.234743056513
329,Dale,Fuller,Dealer,secondary,21863.62120715018
330,Christina,Williams,"Librarian, public",primary,18864.84429202579
331,Linda,Oconnor,Aid worker,primary,19026.81567388767
332,Connie,Preston,Research scientist (maths),primary,20012.756377345733
333,Christopher,Carter,Dentist,tertiary,32607.971798638515
334,Stephen,Romero,"Designer, textile",primary,16041.564573373644
335,Jill,Sullivan,Geophysicist/field seismologist,secondary,23042.959977253387
336,Linda,Blackburn,"Administrator, local government",primary,17816.39907900046
337,Lance,Lester,Statistician,secondary,21929.61797813868
338,Taylor,Johnson,Ship broker,primary,17601.872413471378
339,Ashley,Baker,Arboriculturist,tertiary,30077.255180300504
340,Stephen,Griffith,Operations geologist,tertiary,30788.34189272186
341,Michael,Williams,Government social research officer,secondary,22259.884166180982
342,Jody,Johnson,Television camera operator,primary,19440.67763372684
343,Jacqueline,Hickman,"Engineer, maintenance (IT)",secondary,21232.351954500453
344,Kathryn,Black,Nature conservation officer,primary,18062.287014221867
345,Tiffany,Bonilla,"Engineer, manufacturing",secondary,22305.08378817784
346,Darren,Holden,Financial manager,primary,17584.260427705165
347,Brenda,Cortez,Manufacturing engineer,primary,18084.4168888717
348,Francisco,Parrish,"Designer, ceramics/pottery",primary,16415.090138754073
349,Mark,Burgess,Acupuncturist,primary,19332.300543461075
350,Brenda,Williams,"Designer, furniture",primary,17555.580390317366
351,Stephanie,Cox,Hospital doctor,primary,18998.564497967847
352,Marcus,Patton,Tourist information centre manager,primary,18251.047234220863
353,Ryan,Jackson,Counsellor,primary,17604.401214020687
354,Ashley,Ramos,Licensed conveyancer,primary,17652.79276970638
355,Sarah,Fry,Quantity surveyor,primary,16391.964520359863
356,Renee,Beck,Furniture designer,primary,17888.779509078817
357,Julie,Lopez,Stage manager,secondary,22502.6647850143
358,Sharon,Ramirez,Ecologist,primary,19116.04671008496
359,Alyssa,Brown,"Designer, industrial/product",secondary,21776.102263959696
360,Bethany,David,Speech and language therapist,secondary,22734.010427504672
361,Cassidy,Fischer,Geographical information systems officer,tertiary,29962.635396011985
362,Larry,Smith,Health visitor,primary,18813.065231414952
363,Sophia,Medina,"Surveyor, building",primary,19619.26890426727
364,Louis,Peterson,Podiatrist,primary,18407.510670203243
365,Latasha,Kirk,Sales promotion account executive,primary,18026.26269308964
366,Eric,Guerrero,"Surveyor, quantity",primary,18850.719419574056
367,Patrick,Marshall,Animator,tertiary,29634.732733694247
368,Anna,Jenkins,Visual merchandiser,primary,19008.374785376433
369,Lauren,Wolf,"Administrator, sports",primary,17739.53618989355
370,Michael,Jarvis,"Designer, interior/spatial",primary,16579.79375123876
371,Erin,Mccoy,Research scientist (maths),tertiary,30833.713703646412
372,Andrew,Moss,"Teacher, music",secondary,21082.85229884491
373,Patricia,Hill,Petroleum engineer,tertiary,29859.480829492342
374,Christian,West,"Production assistant, television",tertiary,31254.363812514108
375,Michelle,Jacobson,Chiropodist,primary,18183.04805464169
376,Susan,Martin,Bookseller,tertiary,29005.946139543088
377,Sarah,Walters,Glass blower/designer,secondary,20897.880757200302
378,Johnny,Macias,Market researcher,secondary,20155.34979182328
379,Chelsea,Davis,Air traffic controller,primary,19190.37985259089
380,Travis,Farmer,"Engineer, electrical",primary,17998.57072575262
381,Kathryn,Hughes,Neurosurgeon,primary,18114.192311769995
382,Heidi,Carson,Television floor manager,primary,17755.678786333418
383,Steven,Gallegos,Computer games developer,tertiary,27979.88373344446
384,Anne,Ramirez,Aeronautical engineer,primary,17422.7806153926
385,Raymond,Mccall,Control and instrumentation engineer,tertiary,30011.46805893853
386,Bob,Knight,"Loss adjuster, chartered",secondary,22831.385758697084
387,Michael,Jones,Clinical psychologist,primary,17242.703875914212
388,Emily,Ruiz,International aid/development worker,secondary,20842.649008546705
389,Sarah,Kirk,Agricultural consultant,secondary,21928.488446287498
390,Leroy,Whitehead,Haematologist,primary,18359.605879670544
391,Richard,Thomas,Data scientist,primary,17717.001552452584
392,Richard,Torres,Best boy,primary,17952.086737973234
393,Frank,Orozco,Quarry manager,secondary,21234.643026401995
394,Janet,Moran,Armed forces training and education officer,primary,17592.678448623974
395,Jessica,Stone,"Surveyor, building control",primary,19188.339651357754
396,Hayley,Terry,Naval architect,primary,16990.751870042186
397,Stephanie,Cooper,Textile designer,primary,17315.82268732134
398,Lisa,Miller,Ecologist,primary,18579.199628782913
399,Lisa,Harris,Games developer,primary,18156.981925928936
400,Mark,Erickson,Futures trader,primary,17722.155315139833
401,Zachary,Bryant,"Designer, fashion/clothing",primary,18803.59966421379
402,Katherine,Cole,"Designer, ceramics/pottery",secondary,21965.207065107115
403,Benjamin,Richards,Science writer,secondary,22785.311681564697
404,Arthur,Todd,Building surveyor,primary,17641.31902264541
405,James,Gibbs,Tree surgeon,tertiary,31912.902475142248
406,John,Ellis,"Designer, jewellery",primary,16876.831344659433
407,Jenna,Durham,Control and instrumentation engineer,primary,18376.72264810813
408,Thomas,Peters,Speech and language therapist,primary,17589.610031936252
409,Christopher,Holmes,"Accountant, chartered",primary,17589.407691564833
410,Lisa,Miller,Physiotherapist,primary,17354.51299642613
411,Cathy,Hudson,Legal executive,secondary,22416.361689472516
412,Martha,Hunt,Commissioning editor,secondary,22345.056448292635
413,Derek,Schaefer,"Education officer, environmental",primary,18861.330267355064
414,Jessica,Smith,Translator,primary,16206.48578464015
415,James,Gutierrez,Biomedical engineer,primary,16867.821922376042
416,Holly,Robles,Associate Professor,secondary,23955.56849168356
417,Caroline,Bauer,Dispensing optician,primary,18870.483709171287
418,Michael,Conley,Careers adviser,primary,17521.639425214522
419,Ricky,Alexander,Trade mark attorney,primary,16481.820506941698
420,Rachel,Avila,Insurance claims handler,primary,18697.27832193677
421,Anna,Lara,Passenger transport manager,primary,18964.565791003068
422,Henry,Chavez,"Geneticist, molecular",tertiary,28658.110677765537
423,James,Hughes,Materials engineer,primary,17546.866795268954
424,Cole,Johnson,Advertising art director,primary,16781.03213189326
425,Gregory,Gilbert,"Administrator, Civil Service",primary,17669.800711046635
426,Marcus,Gibbs,Research scientist (life sciences),primary,17657.08422732185
427,Thomas,Hodge,Social worker,tertiary,29633.8944431496
428,Michelle,Gibbs,Garment/textile technologist,primary,17261.76480514476
429,Anthony,Black,Catering manager,primary,17286.146683514507
430,Matthew,Friedman,Public affairs consultant,primary,18181.49904958902
431,Tammy,Moore,"Scientist, clinical (histocompatibility and immunogenetics)",secondary,22142.683403433435
432,Connie,Mitchell,Animator,primary,19307.417406350094
433,Aaron,Morgan,Sports therapist,primary,18553.8239775988
434,Heather,Martin,"Designer, interior/spatial",primary,19689.877066996647
435,Danielle,Sanchez,Land/geomatics surveyor,primary,17574.75333622336
436,Sonya,Webb,Occupational therapist,primary,16654.386607405406
437,Bradley,Allen,Herbalist,primary,19412.825576785726
438,Mark,Burch,Management consultant,secondary,21608.236154196045
439,Jeremy,Johns,"Psychologist, educational",secondary,22737.344679146383
440,Michael,Cunningham,Nature conservation officer,primary,16759.33169408558
441,Annette,Smith,Television production assistant,primary,17897.009918587086
442,Adam,Price,Drilling engineer,primary,17693.843274831343
443,Zoe,Smith,Jewellery designer,secondary,22576.42786871379
444,William,Johnson,Clinical research associate,secondary,22385.868761458343
